A 							B	 					C 							D
3.080944423148645472e-01,-3.134032630566535582e-01,-9.274613159907291182e-01,-5.631412365005608600e-02
-3.356735017972718726e-02,-2.763235791180838619e-01,5.286627692911682191e-02,-1.536099981302754824e-02
9.940633671197981677e-03,-1.916892324390030711e-01,-2.241675697706392925e-02,-6.628159360089368700e-03
-8.595966597877332527e-01,-2.915334964704173748e-01,-2.087857404335829309e-02,2.326421062462608880e-01
1.100404968782214971e-01,-1.467826063784692381e-01,1.444098467051335433e-01,2.572739164648930044e-01
2.271843239470623665e-01,-1.863291992695268739e-01,1.131734146885641779e-01,2.867311580607341814e-01
1.070539246873671579e-01,-1.489012294653536961e-01,1.497626183370511788e-01,2.627733698410257834e-01
-8.583969900505340755e-02,2.386145735363920384e-01,-1.042339700214106428e-02,-7.289377585884422306e-01
-1.230307219719099371e-01,4.766806791286855027e-01,5.341503062713840594e-02,-4.111977427890528558e-01
1.754489955312845198e-02,4.161753479542507628e-01,1.968006568883287621e-01,-3.610890387822731501e-02
2.478409906596525658e-01,4.095031879453116530e-01,1.640578247269466605e-01,1.144364475415079463e-01
7.433471923292776784e-02,1.398881763286767901e-02,1.066943751110125960e-01,1.006906899244739834e-01
